State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Texas,10,R+9,Michael McCaul,R,144034,157166,6627,46.80%,51.10%,2.20%,-4.30%,-9.10%,4.80%,"317,561",96.90%,x
Texas,11,R+32,Mike Conaway,R,40631,176603,3143,18.40%,80.10%,1.40%,-61.70%,-58.50%,-3.20%,"249,682",88.30%,x
Texas,12,R+18,Kay Granger,R,90994,172557,4940,33.90%,64.30%,1.80%,-30.40%,-30.00%,-0.40%,"285,007",94.20%,x
Texas,13,R+33,Mac Thornberry,R,35083,169027,3175,16.90%,81.50%,1.50%,-64.60%,-62.80%,-1.80%,"239,860",86.40%,x
Texas,14,R+12,Randy Weber,R,92212,138942,3374,39.30%,59.20%,1.40%,-19.90%,-19.70%,-0.20%,"264,338",88.70%,x
Texas,15,D+7,Vicente Gonzalez,D,98333,63862,2607,59.70%,38.80%,1.60%,20.90%,16.60%,4.30%,"185,819",88.70%,x
Texas,16,D+17,Veronica Escobar,D,124437,49127,8190,68.50%,27.00%,4.50%,41.40%,40.30%,1.10%,"194,603",93.40%,x
Texas,17,R+12,Bill Flores,R,98070,134841,4440,41.30%,56.80%,1.90%,-15.50%,-17.30%,1.80%,"250,189",94.90%,x
Texas,18,D+27,Sheila Jackson Lee,D,138704,38368,7260,75.20%,20.80%,3.90%,54.40%,56.30%,-1.90%,"206,135",89.40%,x
Texas,19,R+27,Jodey Arrington,R,50039,151946,0,24.80%,75.20%,0.00%,-50.50%,-48.70%,-1.80%,"229,585",88.00%,x
Texas,20,D+10,Joaquin Castro,D,139038,0,32925,80.90%,0.00%,19.10%,80.90%,26.40%,N/A,"219,982",78.20%,x
Texas,21,R+10,Chip Roy,R,168421,177654,7542,47.60%,50.20%,2.10%,-2.60%,-9.90%,7.30%,"362,694",97.50%,x
Texas,22,R+10,Pete Olson,R,138153,152750,6502,46.50%,51.40%,2.20%,-4.90%,-7.80%,2.90%,"308,653",96.40%,x
Texas,23,R+1,Will Hurd,R,102359,103285,4425,48.70%,49.20%,2.10%,-0.40%,3.50%,-3.90%,"233,136",90.10%,x
Texas,24,R+9,Kenny Marchant,R,125231,133317,4870,47.50%,50.60%,1.80%,-3.10%,-6.20%,3.10%,"277,497",94.90%,x
Texas,25,R+11,Roger Williams,R,136385,163023,5145,44.80%,53.50%,1.70%,-8.70%,-14.70%,6.00%,"315,361",96.60%,x
Texas,26,R+18,Michael Burgess,R,121938,185551,5016,39.00%,59.40%,1.60%,-20.40%,-26.20%,5.80%,"322,035",97.00%,x
Texas,27,R+13,Michael Cloud,R,75929,125118,6374,36.60%,60.30%,3.10%,-23.70%,-23.40%,-0.30%,"235,405",88.10%,x
Texas,28,D+9,Henry Cuellar,D,117494,0,21732,84.40%,0.00%,15.60%,84.40%,19.70%,N/A,"190,247",73.20%,x
Texas,29,D+19,Sylvia Garcia,D,88188,28098,1208,75.10%,23.90%,1.00%,51.10%,45.60%,5.50%,"133,934",87.70%,x
Texas,30,D+29,Eddie Bernice Johnson,D,166784,0,16390,91.10%,0.00%,8.90%,91.10%,60.80%,N/A,"220,711",83.00%,x
Texas,31,R+10,John Carter,R,136362,144680,4965,47.70%,50.60%,1.70%,-2.90%,-12.50%,9.60%,"292,427",97.80%,x
Texas,32,R+5,Colin Allred,D,144067,126101,5452,52.30%,45.80%,2.00%,6.50%,1.90%,4.60%,"278,463",99.00%,x
Texas,33,D+23,Marc Veasey,D,90805,26120,2299,76.20%,21.90%,1.90%,54.30%,49.10%,5.20%,"129,867",91.80%,x
Texas,34,D+10,Filemon Vela,D,85825,57243,0,60.00%,40.00%,0.00%,20.00%,21.50%,-1.50%,"172,183",83.10%,x
Texas,35,D+15,Lloyd Doggett,D,138278,50553,5236,71.30%,26.00%,2.70%,45.20%,33.30%,11.90%,"202,033",96.10%,x
Texas,36,R+26,Brian Babin,R,60908,161048,0,27.40%,72.60%,0.00%,-45.10%,-46.50%,1.40%,"255,510",86.90%,x
Utah,1,R+26,Rob Bishop,R,63308,156692,34333,24.90%,61.60%,13.50%,-36.70%,-27.40%,-9.30%,"280,453",90.70%,x
Utah,2,R+16,Chris Stewart,R,105051,151489,13504,38.90%,56.10%,5.00%,-17.20%,-14.00%,-3.20%,"283,693",95.20%,x
Utah,3,R+25,John Curtis,R,70686,174856,13316,27.30%,67.50%,5.10%,-40.20%,-23.90%,-16.30%,"289,925",89.30%,x
Utah,4,R+13,Ben McAdams,D,134964,134270,37,50.10%,49.90%,0.00%,0.30%,-6.70%,7.00%,"277,318",97.10%,x
Vermont,AL,D+15,Peter Welch,D,188547,70705,13199,69.20%,26.00%,4.80%,43.30%,26.40%,16.90%,"315,077",86.50%,x
Virginia,1,R+8,Rob Wittman,R,148464,183250,387,44.70%,55.20%,0.10%,-10.50%,-12.40%,1.90%,"395,784",83.90%,x
Virginia,2,R+3,Elaine Luria,D,139571,133458,371,51.10%,48.80%,0.10%,2.20%,-3.40%,5.60%,"326,766",83.70%,x
Virginia,3,D+16,Bobby Scott,D,198615,0,19107,91.20%,0.00%,8.80%,91.20%,31.50%,N/A,"325,478",66.90%,x
Virginia,4,D+10,Don McEachin,D,187642,107706,4506,62.60%,35.90%,1.50%,26.70%,21.40%,5.30%,"364,550",82.30%,x
Virginia,5,R+6,Denver Riggleman,R,145040,165339,547,46.60%,53.20%,0.20%,-6.50%,-11.00%,4.50%,"367,564",84.60%,x
Virginia,6,R+13,Ben Cline,R,113133,167957,287,40.20%,59.70%,0.10%,-19.50%,-24.60%,5.10%,"347,830",80.90%,x
Virginia,7,R+6,Abigail Spanberger,D,176079,169295,4429,50.30%,48.40%,1.30%,1.90%,-6.50%,8.40%,"394,763",88.60%,x
Virginia,8,D+21,Don Beyer,D,247137,76899,712,76.10%,23.70%,0.20%,52.40%,51.80%,0.60%,"373,446",87.00%,x
Virginia,9,R+19,Morgan Griffith,R,85833,160933,214,34.80%,65.20%,0.10%,-30.40%,-41.30%,10.90%,"318,350",77.60%,x
Virginia,10,D+1,Jennifer Wexton,D,206356,160841,598,56.10%,43.70%,0.20%,12.40%,9.80%,2.60%,"408,608",90.00%,x
Virginia,11,D+15,Gerry Connolly,D,219191,83023,6051,71.10%,26.90%,2.00%,44.20%,38.90%,5.30%,"361,492",85.30%,x
Washington,1,D+6,Suzan DelBene,D,197209,135534,0,59.30%,40.70%,0.00%,18.50%,16.40%,2.10%,"347,060",95.90%,x
Washington,2,D+10,Rick Larsen,D,210187,0,84646,71.30%,0.00%,28.70%,71.30%,22.10%,N/A,"327,533",90.00%,x
Washington,3,R+4,Jaime Herrera Beutler,R,145407,161819,0,47.30%,52.70%,0.00%,-5.30%,-7.40%,2.10%,"315,150",97.50%,x
Washington,4,R+13,Dan Newhouse,R,83785,141551,0,37.20%,62.80%,0.00%,-25.60%,-22.90%,-2.70%,"242,666",92.90%,x
Washington,5,R+8,Cathy McMorris Rodgers,R,144925,175422,0,45.20%,54.80%,0.00%,-9.50%,-13.00%,3.50%,"319,560",100.20%,x
Washington,6,D+6,Derek Kilmer,D,206409,116677,0,63.90%,36.10%,0.00%,27.80%,12.40%,15.40%,"333,450",96.90%,x
Washington,7,D+33,Pramila Jayapal,D,329800,64881,0,83.60%,16.40%,0.00%,67.10%,69.80%,-2.70%,"415,979",94.90%,x
Washington,8,EVEN,Kim Schrier,D,164089,148968,0,52.40%,47.60%,0.00%,4.80%,3.00%,1.80%,"320,558",97.70%,x
Washington,9,D+21,Adam Smith,D,240567,0,0,100.00%,0.00%,0.00%,100.00%,47.10%,N/A,"291,632",82.50%,x
Washington,10,D+5,Denny Heck,D,166215,103860,0,61.50%,38.50%,0.00%,23.10%,11.30%,11.80%,"294,847",91.60%,x
West Virginia,1,R+19,David McKinley,R,70217,127997,0,35.40%,64.60%,0.00%,-29.20%,-41.60%,12.40%,"243,894",81.30%,
West Virginia,2,R+17,Alex Mooney,R,88011,110504,6277,43.00%,54.00%,3.10%,-11.00%,-36.40%,25.40%,"250,267",81.80%,
West Virginia,3,R+23,Carol Miller,R,76340,98645,0,43.60%,56.40%,0.00%,-12.70%,-49.30%,36.60%,"218,890",79.90%,
Wisconsin,1,R+5,Bryan Steil ,R,137508,177492,10013,42.30%,54.60%,3.10%,-12.30%,-10.30%,-2.00%,"359,815",90.30%,x
Wisconsin,2,D+18,Mark Pocan,D,309116,0,38,100.00%,0.00%,0.00%,100.00%,36.30%,N/A,"418,192",73.90%,x
Wisconsin,3,EVEN,Ron Kind,D,187888,126980,0,59.70%,40.30%,0.00%,19.30%,-4.50%,23.80%,"363,271",86.70%,x
Wisconsin,4,D+25,Gwen Moore,D,206487,59091,7170,75.70%,21.70%,2.60%,54.00%,51.50%,2.50%,"312,481",87.30%,x
Wisconsin,5,R+13,Jim Sensenbrenner,R,138385,225619,1,38.00%,62.00%,0.00%,-24.00%,-19.80%,-4.20%,"405,647",89.70%,x
Wisconsin,6,R+8,Glenn Grothman,R,144536,180311,0,44.50%,55.50%,0.00%,-11.00%,-16.60%,5.60%,"371,109",87.50%,x
Wisconsin,7,R+8,Sean Duffy,R,124307,194061,4419,38.50%,60.10%,1.40%,-21.60%,-20.30%,-1.30%,"373,201",86.50%,x
Wisconsin,8,R+7,Mike Gallagher,R,119265,209410,0,36.30%,63.70%,0.00%,-27.40%,-17.40%,-10.00%,"372,434",88.30%,x
Wyoming,AL,R+25,Liz Cheney,R,59903,127963,13379,29.80%,63.60%,6.60%,-33.80%,-46.30%,12.50%,"255,849",78.70%,x
